canonical_smiles,pchembl_value
C#CCCCC(=O)Nc1nc2cccc(Cl)c2c2nc(-c3ccco3)nn12,6.77
C#CCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.05
C#CCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.05
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCC)c4[nH]3)(CC1)CC2,7.04
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,7.46
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,7.35
C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,5.6
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,6.91
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,6.06
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O,5.63
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,5.08
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(C)c1=O,5.36
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccc(OC)c2)n(C)c1=O,5.88
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,6.6
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2OC)n(C)c1=O,6.22
C#CCn1c(=O)c2c(nc3n2CCCN3Cc2cccs2)n(C)c1=O,6.39
C#CCn1c(=O)c2c(nc3n2CCCN3c2cc(OC)cc(OC)c2)n(C)c1=O,5.01
C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(OC)c2)n(C)c1=O,5.02
C#Cc1nc(NCc2cccc(Cl)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@]4(C(=O)NC)C[C@H]34)c2n1,6.76
C#Cc1nc(NOC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,7.6
C/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,7.15
C/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,7.35
C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1,5.62
C/N=c1\nc(-c2ccccc2)n(-c2cccc(C)c2)s1,6.19
C/N=c1\nc(-c2ccccc2)n(-c2ccccc2)s1,5.55
C=C(C)COc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,6.06
C=CC(=O)Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,6.58
C=CC/N=C(\S)OC[C@H]1OC(n2cnc3c(NC4CCOC4)ncnc32)[C@H](O)[C@@H]1O,7.46
C=CCCCCCCCCCOCCOCCOCCOCCn1cnc2c1c(=O)n(C)c(=O)n2C,5.3
C=CCCn1c(Br)nc2c(N)ncnc21,5.31
C=CCN(C)S(=O)(=O)c1ccc(NC(=O)Nc2ncnc3c2ncn3C2O[C@H](C(=O)NCC)[C@@H](O)[C@H]2O)cc1,6.69
C=CCN(CC=C)S(=O)(=O)c1ccc(NC(=O)Nc2ncnc3c2ncn3C2O[C@H](C(=O)NCC)[C@@H](O)[C@H]2O)cc1,6.42
C=CCN1C(=O)N2CC(C)N=C2c2[nH]c(-c3cc(C)nn3C)nc21,5.69
C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(OC)nn3C)nc21,5.82
C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(OC)no3)nc21,5.52
C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(OCc4ccccc4)nn3C)nc21,5.92
C=CCN1C(=O)N2C[C@@H](C)N=C2c2[nH]c(-c3cc(C)nn3C)nc21,5.6
C=CCN1C(=O)N2C[C@H](CC)N=C2c2[nH]c(-c3cc(OC)nn3C)nc21,5.97
C=CCOc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,6.49
C=CCOc1ccc(-c2c(C#N)c(N)nc(SCc3ccn[nH]3)c2C#N)cc1,7.36
