canonical_smiles,pchembl_value
Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,6.895
C#C/C(C)=C/CO/N=C1\CN2CCC1C2,6.59
C#C/C(C)=C\CO/N=C1/CN2CCC1C2,7.35
C#C/C=C/CO/N=C1\CN2CCC1C2,5.404999999999999
C#CC(C)O/N=C1\CN2CCC1C2,5.28
C#CCC#CCC#CCO/N=C1\CN2CCC1C2,5.66
C#CCCCCCCN1CCC(COC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,8.03
C#CCCCCCCN1CCC(OC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,8.1
C#CCCCCCN1CCC(COC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,7.89
C#CCCCCCN1CCC(OC(=O)Nc2ccc(F)cc2-c2ccc(F)c(Cl)c2)CC1,7.64
C#CCO/N=C1\CN2CCC1C2,5.6
C#CCOC(=O)C1=CCCN(C)C1,7.06
C#CCO[C@H]1C[C@H]2CC[C@@H](C1)N2C[C@@H](C)Cn1ncc2ccc(OC)cc21,7.1
C#CCO[C@H]1C[C@H]2CC[C@@H](C1)N2C[C@@H](C)Cn1ncc2ccccc21,7.2
C#CCOc1noc2c1CNCCC2,8.17
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,5.74
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,5.03
C(#Cc1ccccc1)COc1nsnc1C1CN2CCC1CC2,7.21
C(#Cc1ccccc1)COc1nsnc1[C@@H]1CN2CC[C@H]1C2,5.96
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC1C2,7.96
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@@H]1C2,5.65
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CCC[C@H]1C2,8.05
C(#Cc1ccccc1)COc1nsnc1[C@H]1CN2CC[C@@H]1C2,5.97
C(#Cc1ccccc1)CSc1nsnc1C12CN3CC1C2C3,6.07
C(#Cc1ccccc1)CSc1nsnc1[C@H]1CN2CCC[C@H]1C2,8.7
C(#Cc1cccs1)CO/N=C1\CN2CCC1C2,5.05
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.61
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,5.56
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)N(C)CCc1ccc(F)cc1,6.47
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCCc1ccc(F)cc1,6.68
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCc1cccc(F)c1,6.36
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCc1ccccc1F,6.93
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)Nc1ccc(F)cc1,6.13
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(C)cc1)[C@H](O)C2)N(C)Cc1ccc(F)cc1,7.18
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H](O)C2)N(C)Cc1ccc(F)cc1,7.18
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(F)cc1)[C@H](O)C2)N(C)Cc1ccc(F)cc1,6.62
C/C(C#Cc1ccc(C)cc1)=C/CO/N=C1/CN2CCC1C2,8.36
C/C(C#Cc1ccc(C)cc1)=C/CO/N=C1\CN2CCC1C2,7.97
