canonical_smiles,pchembl_value
C#Cc1ccc2[nH]c3cnc(C(=O)OC(C)(C)C)cc3c2c1,9.0
C#Cc1ccc2c(c1)C(c1ccccc1F)=N[C@H](C)c1c(C(=O)NC)ncn1-2,6.07
C#Cc1ccc2c(c1)C(c1ccccc1F)=N[C@H](C)c1c(C(=O)NC3CC3)ncn1-2,6.27
C=CCN1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1,6.77
C=CC[C@@]1(c2cccc(C3(C(F)(F)F)N=N3)c2)C(=O)NC(=O)N(C)C1=O,5.42
CC(=O)c1c(NS(C)(=O)=O)c2cc(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)nc2n(C)c1=O,5.78
CC(C)(C)OC(=O)c1cc2c(cn1)[nH]c1ccccc12,9.15
CC(C)(C)OC(=O)c1cc2c3ccccc3nc-2c[nH]1,9.0
CC(C)(C)c1ccc2c(c1)n(Cc1cccnc1)c(=O)c1cncn12,6.51
CC(C)(O)c1ccc2c(c1)ncn2-c1ccnc(-c2cccnc2Cl)c1,7.42
CC(C)(O)c1ccc2c(c1)ncn2-c1ccnc(-c2ccncc2C#N)c1,7.58
CC(C)(O)c1ccc2c(c1)ncn2-c1ccnc(-c2ccncc2F)c1,8.12
CC(C)(O)c1cnn2c(-c3ccc(F)c(-c4c(F)cccc4C#N)c3)cnc2n1,9.14
CC(OC(=O)c1cc2c(cn1)[nH]c1ccccc12)c1ccccc1,7.47
CC1=C(C#N)C(c2ccc3c(c2)c(NC(=O)c2ccccc2C)nn3C)C(C#N)=C(C)N1,7.68
CC1=NN=C(c2cc3c(C(F)(F)F)cccc3s2)c2cc3oc(=O)[nH]c3cc2C1,6.32
CCC(=N\O)/C(C)=C/c1ccc(F)c(C)c1,5.43
CCC(=O)N1CCc2nc(O)n3cc(-c4ccccc4F)nc3c2C1,7.02
CCCC(C)(C)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nn1,7.88
CCCNC(=O)c1nnc2c(-c3c(F)cccc3OC)cccc2c1N,9.3
CCCNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N,9.3
CCCOc1cc2c(cn1)[nH]c1ccccc12,8.3
CCCOc1ccc2[nH]c3cnc(C(=O)OCC)c(COC)c3c2c1,9.3
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C(F)F)nc1,7.23
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nc1,8.14
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nn1,7.59
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C2CC2)nc1,7.23
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nn3)noc2C)nc1,9.1
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(N(C)C)nc3)noc2C)nc1,7.3
CCC[C@@H](CO)NC(=O)c1ccc(OCc2c(-c3cnc(C)c(F)c3)noc2C)nc1,7.54
CCC[C@H](CO)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nc1,7.44
CCNC(=O)c1cc2c(N3CCOC[C@@H]3C)ccnc2[nH]1,5.82
CCNC(=O)c1cc2c(N3CCOC[C@@H]3C)ccnc2n1C,6.65
CCNC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nc1,8.85
CCNC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nn1,8.12
CCOC(=O)C1(NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,7.25
CCOC(=O)C1=NCN2c3ccc(CC)cc3C(=O)N(C)CC12,7.69
CCOC(=O)c1[nH]cc2nc3cc(OC)c(OC)cc3c-2c1CC,8.1
CCOC(=O)c1cc2c(cn1)[nH]c1ccccc12,9.0
CCOC(=O)c1ncc2[nH]c3ccc(O)cc3c2c1COC,8.7
CCOC(=O)c1ncc2[nH]c3ccc(OC)cc3c2c1COC,10.0
CCOC(=O)c1ncc2[nH]c3ccccc3c2c1COC,9.22
CCOC(=O)c1ncn2c1C1CCCN1C(=O)c1cc(C#C[Si](C)(C)C)ccc1-2,6.7
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,8.7
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=C=S)ccc1-2,6.33
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2,8.48
CCOC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1cc(OC)ccc1-2,7.539999999999999
CCOC(=O)c1ncn2c1c(=O)n(Cc1cccnc1)c1cccc(Cl)c12,8.15
CCOC(=O)c1ncn2c1c(=O)n(Cc1cccnc1)c1ccccc12,9.4
CCOC(=O)c1ncn2c3ccc(C#C[Si](C)(C)C)cc3c(=O)n(C)c12,6.92
CCO[C@@H]1CC[C@@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,7.9
CCO[C@H]1CC[C@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,7.76
CCOc1cc2c(cn1)[nH]c1ccccc12,8.92
CC[C@@H](CC#N)NC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nn1,7.39
CCc1c(C(=O)OC)nc(C)c2[nH]c3cc(OC)c(OC)cc3c12,8.22
CCc1onc(-c2ccc(C)nc2)c1COc1ccc(C(=O)NC2(C)COC2)nn1,7.58
CCc1onc(-c2ccc(C)nc2)c1COc1ccc(C(=O)NC2CC2)nn1,7.66
CCc1onc(-c2ccc(C)nc2)c1COc1ccc(C(=O)NC2CCOCC2)cn1,7.51
CCc1onc(-c2ccc(C)nc2)c1COc1ccc(C(=O)NC2CCOCC2)nn1,7.39
CCc1onc(-c2ccc(C)nc2)c1COc1ccc(C(=O)NC2CCS(=O)(=O)CC2)cn1,7.28
CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,6.1
CN(c1ccnc(CNc2nc(Nc3ccc4c(c3)CC(=O)N4)ncc2C(F)(F)F)n1)S(C)(=O)=O,5.83
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,7.62
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,8.35
CN1C(=O)COc2cc(Cn3c(=O)c4cncn4c4ccccc43)ccc21,7.13
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,6.43
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,7.3
CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,5.96
CNC(=O)Nc1ccc2c(c1)[C@@]1(CC2)OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,5.59
CNC(=O)c1ccc(OCc2c(-c3ccc(C)nc3)noc2C)nc1F,7.83
COC(=O)c1cc2c(cn1)[nH]c1ccc(NCc3ccccc3)cc12,8.3
COC(=O)c1cc2c(cn1)[nH]c1ccccc12,8.85
COC1CN(C(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,8.07
COCC1(NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)CC1,7.7
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,9.0
COCc1ncn2c1CN(C)C(=O)c1cc(Cl)ccc1-2,6.44
CO[C@@H]1CC[C@@H](NC(=O)c2ccc(OCc3c(-c4ccc(C)nc4)noc3C)nn2)C1,8.12
