canonical_smiles,pchembl_value
C#CC1(c2ccccc2C(=O)N2C[C@H](Oc3nccn4c(C(F)F)cnc34)CC[C@H]2C)CC1,5.75
C#Cc1cc(N2CC[C@@H]3CCN(C(=O)c4ccccc4-n4nccn4)C[C@@H]32)ncc1F,5.0
C#Cc1cccc(N2CC[C@@H]3CCN(C(=O)c4ccccc4-n4nccn4)C[C@@H]32)c1,5.0
C#Cc1ccnc(O[C@@H]2CC[C@@H](C)N(C(=O)c3ccccc3-n3nccn3)C2)c1,6.965
C=C1CC(c2nc3c(Br)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.3
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.52
C=C1CC(c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.4
C=C1CC(c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.4
C=C1CC(c2nc3c(C)cc(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.4
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.7
C=C1CC(c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.7
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.1
C=C1CC(c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.4
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,7.72
C=C1CC(c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,6.63
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.1
C=C1CC(c2nc3cc(C)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.22
C=C1CC(c2nc3cc(Cl)c(C(F)(F)F)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,7.85
C=C1CC(c2nc3cc(Cl)c(C)cc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.05
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,7.62
C=C1CC(c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,7.66
C=C1CC(c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.0
C=C1CC(c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,7.7
C=C1CC(c2nc3cc4ccccc4cc3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,6.97
C=C1CC(c2nc3cccc(Cl)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.1
C=C1CC(c2nc3cccc(Cl)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,8.3
C=C1CC(c2nc3cccc(SC)c3[nH]2)N(C(=O)c2cc(C)sc2-c2ccc(C)c(C)c2)C1,8.4
C=C1CC(c2nc3cccc(SC)c3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,9.0
C=C1CN(C(=O)c2cc(C)c(C)cc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.96
C=C1CN(C(=O)c2cc(C)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.47
C=C1CN(C(=O)c2cc(Cl)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.16
C=C1CN(C(=O)c2cc(OC)ccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.24
C=C1CN(C(=O)c2ccccc2-c2ccc(C)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.23
C=C1CN(C(=O)c2ccccc2-c2ccccc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,6.66
C=C1CN(C(=O)c2ccccc2-n2nccn2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,6.19
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(C)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.72
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(Cl)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.8
C=C1CN(C(=O)c2nc(C)sc2-c2ccc(OC)cc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.89
C=C1CN(C(=O)c2nc(C)sc2-c2cccc(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.89
C=C1CN(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,8.1
C=C1CN(C(=O)c2nc(C)sc2-c2ccccc2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.5
C=C1CN(C(=O)c2nc(N(C)C)sc2-c2ccc(C)c(C)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,7.82
C=C1CN(C(=O)c2nc(N(C)C)sc2-c2cccc(Cl)c2)C(C)(c2nc3cc(OC)ccc3[nH]2)C1,8.3
C=C1C[C@@H](c2nc3c(Br)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.3
C=C1C[C@@H](c2nc3c(C)c(C)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.22
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,7.92
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.52
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C1,9.0
C=C1C[C@@H](c2nc3c(C)c(Cl)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2)C1,8.4
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.4
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Cl)c2)C1,8.0
C=C1C[C@@H](c2nc3c(C)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccccc2)C1,7.16
C=C1C[C@@H](c2nc3c(Cl)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.1
C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,6.12
C=C1C[C@@H](c2nc3c(OC)ccc(OC)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,7.85
C=C1C[C@@H](c2nc3c(SC)cccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.52
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,7.0
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(OC)c2F)C1,6.59
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2c(C)cccc2-n2nccn2)C1,6.24
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)c(C)cc2-n2nccn2)C1,8.05
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2cccn2)C1,6.79
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,7.24
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,7.29
C=C1C[C@@H](c2nc3cc(C(C)(C)C)ccc3[nH]2)N(C(=O)c2cc(F)ccc2-n2nccn2)C1,6.49
